gfs_id,institution,department,collection,size,gfs_size,electronic_metadata,published_digital_records,size_comments,metadata_scope_comments,catalog_url,catalog_comments,type_of_things,places,names,dates,subjects,academic_department,division,top_category,source_id,collection_digitized,how_many_digitized_versions,collection_digitized_comments,priority
mnh-palaeontology-miocene,MNH,Earth Collections,Palaeontology-Miocene,"1,143",,All,1143,,,http://www.oum.ox.ac.uk/database/geology/miocene.htm,,fossils,"Oeningen, Switzerland",,23.0 - 5.3 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-oligocene,MNH,Earth Collections,Palaeontology-Oligocene,?,,?,896,,,http://www.oum.ox.ac.uk/database/geology/oligocen.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,33.9 - 23.0 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-palaeocene-and-eocene,MNH,Earth Collections,Palaeontology- Palaeocene and Eocene,?,,?,1653,,,http://www.oum.ox.ac.uk/database/geology/eocene.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,65.5 - 33.9 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-cretaceous,MNH,Earth Collections,Palaeontology-Cretaceous,"90,000",,Some,27120,,,http://www.oum.ox.ac.uk/database/geology/cretac.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,145.5 - 65.5 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-jurassic,MNH,Earth Collections,Palaeontology- Jurassic,"80,000",,Some,29855,,,http://www.oum.ox.ac.uk/database/geology/jurass.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,199 - 145.5 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-triassic,MNH,Earth Collections,Palaeontology - Triassic,?,,?,668,,,http://www.oum.ox.ac.uk/database/geology/triass.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,251 - 199 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-permian,MNH,Earth Collections,Palaeontology- Permian,?,,Some,670,,,http://www.oum.ox.ac.uk/database/geology/permian.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,290-250 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-carbiniferous,MNH,Earth Collections,Palaeontology- Carboniferous,?,,Some,3876,,,http://www.oum.ox.ac.uk/database/geology/carbon.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,,,360-290 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-devonian,MNH,Earth Collections,Palaeontology-Devonian,?,,Some,1835,,,http://www.oum.ox.ac.uk/database/geology/devon.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils; corals; brachiopods; early ammonoids; early vertebrates,"United Kingdom, Devon",,410-360 million years ago.,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-silurian,MNH,Earth Collections,Palaeontology- Silurian,?,,Some,9288,,,http://www.oum.ox.ac.uk/database/geology/silur.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,United Kingdom,,443 - 416 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-ordovician,MNH,Earth Collections,Palaeontology- Ordovician,?,,Some,"2,356",,,http://www.oum.ox.ac.uk/database/geology/ordov.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,fossils,"Peru, United Kingdom","J. A. Douglas, O. M. B. Bulman",490-440 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-palaeontology-precambrian-and-cambrian,MNH,Earth Collections,Palaeontology- Precambrian and Cambrian,"1,445",,All,1445,,,http://www.oum.ox.ac.uk/database/geology/camb.htm,,fossils,"United Kingdom, Mongolian",,545-495 million years ago,palaeontology,Earth Sciences,MPLS,specimens,,,,,
mnh-mineralogy,MNH,Earth Collections,Mineralogy,"30,000",,Some,28965,,Read Me,http://www.oum.ox.ac.uk/database/minpet/mins.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,minerals,,,unspecified,"mineralogy, geology",Earth Sciences,MPLS,specimens,,%,?,,
mnh-petrology,MNH,Earth Collections,Petrology,"50,000",,Some,,,Read Me,http://www.oum.ox.ac.uk/collect/earthcoll2.htm,http://www.oum.ox.ac.uk/collect/earthcoll.htm,minerals; rocks,,,unspecified,geology,Earth Sciences,MPLS,specimens,,N,?,,
mnh-archives,MNH,Archives,OUMNH Archives,"500,000",,Some,3169,,Read Me,,http://www.oum.ox.ac.uk/collect/library.htm,archives; correspondence,,,unspecified,?,Earth Sciences; Zoology,MPLS,"text, specimens",,N,0,,
prm-objects,PRM,Objects,Objects,"330,000",,Some,240150,,,http://databases.prm.ox.ac.uk/fmi/webd#objects_online,https://www.prm.ox.ac.uk/objects,objects,,,unspecified,"Agriculture, Animalia, Animal Gear, Archery Weapon, Armour Weapon, Bag, Barkcloth, Basketry, Bead, Body Art, Box, Carving, Ceremonial, Children, Clothing, Clothing Textile, Clothing Footgear, Clothing Handgear, Clothing Headgear, Clothing Underwear, Commemoration, Cordage, Currency, Dance, Death, Divination Religion, Dwelling, Fan, Figure, Fire, Firearm Weapon, Fishing, Food, Food-gathering, Furniture Dwelling, Geology, Headhunting, Hunting, Insignia, Lighting, Lock, Marriage, Mask, Measurement, Medicine, Metallurgy, Model, Music, Narcotic, Navigation, Ornament, Photograph, Physical Anthropology, Picture, Plant, Pottery, Punishment and Torture, Religion, Reproduction, Scientific Apparatus, Specimen, Sport, Status, Technique, Textile, Theatre, Time, Toilet, Tool, Toys & Games, Trade, Transport, Vessel, Weapon, Writing",Anthropology & Museum Ethnography; Art; History,"Social Sciences, Humanities, ",object,,%,"98,801",,
prm-photographs,PRM,Photographs,Photographs,"320,000",,All,187477,,,http://databases.prm.ox.ac.uk/fmi/webd#Photos_PRM,https://www.prm.ox.ac.uk/photographs,photographs,,,unspecified,"anthropology, photography",Anthropology & Museum Ethnography; Art; History,"Social Sciences, Humanities, ",images,,%,"114,279",,
prm-sound,PRM,Sound,Sound,500,,,,22287,,,https://www.prm.ox.ac.uk/sound,sound recordings,,,unspecified,ethnomusicology,Anthropology & Museum Ethnography; Art; History,"Social Sciences, Humanities, ",sound & moving image,,%,474,https://soundcloud.com/pittriversound-1,
prm-films,PRM,Films,Films,70,,all,179,,,,https://www.prm.ox.ac.uk/film,films,,,unspecified,"anthropology, film",Anthropology & Museum Ethnography; Art; History,"Social Sciences, Humanities, ",sound & moving image,,%,58,,
prm-allan-papers,PRM,Manuscripts,Allan Papers,10,,All,10,,,https://www.prm.ox.ac.uk/manuscripts/allanpapers.html,,archives; manuscripts,,Reverend William ALLAN (1837 – c.1915),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-ambache-/-saumarez-smith-papers,PRM,Manuscripts,Ambache / Saumarez Smith Papers,20,,Some,1,1 box,,https://www.prm.ox.ac.uk/manuscripts/ambacheandsaumarez-smithpapers.html,,archives; manuscripts,,Jonathan AMBACHE (1945-1968) and Richard SAUMAREZ SMITH (b. 1945),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-arkell-papers,PRM,Manuscripts,Arkell Papers,100,,Some,1,2 boxes,,https://www.prm.ox.ac.uk/manuscripts/arkellpapers.html,,archives; manuscripts,,Anthony John ARKELL (1898-1980),[GFS to derive dates from life dates in Names field],"anthropology, beads",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-baddeley-papers,PRM,Manuscripts,Baddeley Papers,100,,Some,1,2 boxes,,https://www.prm.ox.ac.uk/manuscripts/baddeleypapers.html,,archives; manuscripts,"Russia, Central Asia",John Frederick BADDELEY (1854-1940),[GFS to derive dates from life dates in Names field],"anthropology, journalism",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-baker-papers,PRM,Manuscripts,Baker Papers,50,,Some,1,1 box,,https://www.prm.ox.ac.uk/manuscripts/bakerpapers.html,,archives; manuscripts; ephemera,Tibet,Henry George BAKER (1918–2006),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-balfour-papers,PRM,Manuscripts,Balfour Papers,976,,All,976,,,https://www.prm.ox.ac.uk/manuscripts/balfourpapers.html,,archives; manuscripts,,Henry BALFOUR (1863-1939),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-barnes-papers,PRM,Manuscripts,Barnes Papers,50,,Some,1,1 box,,https://www.prm.ox.ac.uk/manuscripts/barnespapers.html,,archives; manuscripts; correspondence; drawings; watercolours,,Alfred Schwartz BARNES (1868-1949),[GFS to derive dates from life dates in Names field],"anthropology, stone tools, flint tools",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-bell-papers,PRM,Manuscripts,Bell Papers,150,,Some,1,3 boxes,,,,archives; manuscripts; diaries; notes; handlists,Tibet,Sir Charles Alfred BELL (1870-1945),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-blackwood-papers,PRM,Manuscripts,Blackwood Papers,300,,All,300,6 boxes,,,,archives; manuscripts; correspondence,"Melanesia, Papua New Guinea, North America",Beatrice Mary BLACKWOOD (1889-1975),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-blair-papers,PRM,Manuscripts,Blair Papers,100,,Some,1,2 boxes,,,,archives; manuscripts; correspondence; notes; typescripts; telegrams; newspaper cuttings; maps,Nigeria,John Herbert BLAIR (1904-fl. 1940),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-blomfield-papers,PRM,Manuscripts,Blomfield Papers,50,,Some,1,1 box,,,,archives; manuscripts; diaries; notebooks,,James Edward BLOMFIELD (1856-fl. 1910),[GFS to derive dates from life dates in Names field],"anthropology, human development, surgery",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-bower-papers,PRM,Manuscripts,Bower Papers,50,,Some,1,1 box,,,,correspondence; diaries; notebooks; manuscripts; typescripts,"India, Nagaland",Ursula Violet Graham Betts (née BOWER) (1914-1989),[GFS to derive dates from life dates in Names field],"anthropology, Naga, textiles",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-bradford-papers,PRM,Manuscripts,Bradford Papers,500,,Some,1,10 boxes,,,,archives; manuscripts; correspondence; notes; typescripts; telegrams; newspaper cuttings; maps,"Scotland, England, Italy, Rome",John Spencer Purvis BRADFORD (1918-1975),[GFS to derive dates from life dates in Names field],"anthropology, archaeology, aerial photography",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-brown-papers,PRM,Manuscripts,Brown Papers,100,,Some,1,2 boxes,,,,archives; manuscripts; notes; typescripts,Southern Sudan,Elizabeth Jean Lucas Sassoon (née BROWN) (b. 1927),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-buxton-papers,PRM,Manuscripts,Buxton Papers,"1,250",,Some,1,25 boxes,,,,archives; manuscripts,Southern Sudan,Jean Carlile Buxton (1921–1971),[GFS to derive dates from life dates in Names field],"anthropology, Mandari",Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-caton-thompson-papers,PRM,Manuscripts,Caton-Thompson Papers,50,,Some,1,1 box,,,,archives; manuscripts; correspondence; notebooks; maps,Egypt,Gertrude CATON-THOMPSON (1888-1985),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-chapman-papers,PRM,Manuscripts,Chapman Papers,50,,Some,1,1 box,,,,archives; manuscripts; correspondence; diaries; notes; handlists,,Frederick Spencer CHAPMAN (1907-1971),1907-1991,anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-clausen-papers,PRM,Manuscripts,Clausen Papers,"1,250",,Some,1,25 boxes,,,,archives; manuscripts; field notes; lecture notes; correspondence; musical transcriptions; article drafts,Vanuatu,Raymond Ernst CLAUSEN (c.1915-1993),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-cole-papers,PRM,Manuscripts,Cole Papers,50,,Some,1,1 box,,,,archives; manuscripts; correspondence; notes; article offprints,"Manipur, India",Sir Henry Walter George COLE (1866-1932) and Lady Mai Kathleen COLE (fl. 1915-fl. 1920),[GFS to derive dates from life dates in Names field],anthropology; Manipur; language; epigraphy,"Anthropology & Museum Ethnography; Linguistics, Philology & Phonetics",Social Sciences; Humanities,text,,,?,,
prm-cranstone-papers,PRM,Manuscripts,Cranstone Papers,200,,Some,1,4 boxes,,,,archives; manuscripts; correspondence; notes; typescripts; ephemera,,Bryan Allan Lefevre CRANSTONE (1918-1989),[GFS to derive dates from life dates in Names field],anthropology; history of technology,Anthropology & Museum Ethnography; History,Social Sciences; Humanities,text,,,?,,
prm-crocker-jones-papers,PRM,Manuscripts,Crocker Jones Papers,250,,Some,1,5 boxes,,,,archives; manuscripts; correspondence; drawings,,Gigi CROCKER JONES (1933-2002),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-crook-papers,PRM,Manuscripts,Crook Papers,1,,All,1,1 box,,,,manuscripts,Africa,Herbert David CROOK (1856-1926),[GFS to derive dates from life dates in Names field],anthropology; hunting,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-egerton-papers,PRM,Manuscripts,Egerton Papers,1,,Some,1,1 box,,,,archives; manuscripts,Benin; Africa,Sir George Le Clerc EGERTON (1852-1940),1897,anthropology; Benin Punitive Expedition (1897); munitions,Anthropology & Museum Ethnography; Politics and International Relations,Social Sciences,text,,,?,,
prm-ettlinger-papers,PRM,Manuscripts,Ettlinger Papers,100,,Some,1,2 boxes,,,,archives; manuscripts; correspondence; diaries; notes; newspaper cuttings; ephemera,,Ellen ETTLINGER (née Rathenau) (1902-1994),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-evans-pritchard-papers,PRM,Manuscripts,Evans-Pritchard Papers,700,,All,700,14 boxes,,,,archives; manuscripts,Southern Sudan,Sir Edward Evan EVANS-PRITCHARD (1902-1973),[GFS to derive dates from life dates in Names field],anthropology; Azande,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-eyre-papers,PRM,Manuscripts,Eyre Papers,50,,Some,1,1 box,,,,archives; manuscripts,Burma,Lucy Margaret EYRE (1874-1963),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-foster-papers,PRM,Manuscripts,Foster Papers,100,,Some,1,2 boxes,,,,archives; manuscripts; correspondence; notes; drawings,Yugoslavia,Georgiana Fanny Julia FOSTER (1891-1975),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text; image,,,?,,
prm-freire-marreco-papers,PRM,Manuscripts,Freire-Marreco Papers,20,,Some,1,,,,,archives; manuscripts; notebooks; notes,,Barbara Whitchurch Aitken (née FREIRE-MARRECO) (1879-1967),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-gardner-papers,PRM,Manuscripts,Gardner Papers,3,,All,3,,,,,archives; manuscripts; notebooks,Egypt; Karga,Elinor Wight Gardner (1892–c.1980),[GFS to derive dates from life dates in Names field],anthropology; geology; archaeology,Anthropology & Museum Ethnography; Earth Sciences; Archaeology,Social Sciences; MPLS,text,,,?,,
prm-garrod-papers,PRM,Manuscripts,Garrod Papers,1,,All,1,,,,,archives; manuscripts; notebooks,India,Dorothy Annie Elizabeth GARROD (1892–1968),[GFS to derive dates from life dates in Names field],anthropology; archeology; expeditions,Anthropology & Museum Ethnography; Archaeology,Social Sciences; Humanities,text,,,?,,
prm-gibson-hill-papers,PRM,Manuscripts,Gibson-Hill Papers,50,,Some,1,1 box,,,,archives; manuscripts; correspondence; notes,Malaya,Carl Alexander GIBSON-HILL (1911-1963),[GFS to derive dates from life dates in Names field],anthropology; ornithology,Anthropology & Museum Ethnography; Zoology,Social Sciences,text,,,?,,
prm-grist-papers,PRM,Manuscripts,Grist Papers,50,,Some,1,1 box,,,,archives; manuscripts; typescripts,"Tibet, India",Robert Frederick GRIST (1919–1990),[GFS to derive dates from life dates in Names field],anthropology; armed forces,Anthropology & Museum Ethnography; Politics and International Relations,Social Sciences,text,,,?,,
prm-gross-papers,PRM,Manuscripts,Gross Papers,55,,All,55,1 box,,,,archives; manuscripts; correspondence,South Africa,Papers of Denise Gross (1906–1971),[GFS to derive dates from life dates in Names field],anthropology; art; rock art,Anthropology & Museum Ethnography; History of Art,Social Sciences; Humanities,text,,,?,,
prm-hardyman-collection,PRM,Manuscripts,Hardyman Collection,44,,All,44,,,,,pamphlets,Africa,Keith HARDYMAN (1924 - 2009),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-hilton-simpson-papers,PRM,Manuscripts,Hilton-Simpson Papers,50,,Some,1,1 box,,,,archives; manuscripts; notes; typescripts,Algeria,Melville William HILTON-SIMPSON (1881-1938),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-hottot-papers,PRM,Manuscripts,Hottot Papers,288,,All,288,,,,,archives; manuscripts; correspondence; diaries; notebooks; notes; drawings; newspaper cuttings; ephemera,French Equatorial Africa,A. Robert HOTTOT (1884-1939),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
prm-hutton-papers,PRM,Manuscripts,Hutton Papers,250,,Some,1,5 boxes,,,,archives; manuscripts; correspondence; notes; drawings,"Nagaland, Assam, India",John Henry HUTTON (1885-1968),[GFS to derive dates from life dates in Names field],anthropology; Colonial India,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-jameson-papers,PRM,Manuscripts,Jameson Papers,50,,Some,1,1 box,,,,archives; manuscripts; correspondence; diaries; notebooks; drawings,Africa,James Sligo JAMESON (1856-1888),[GFS to derive dates from life dates in Names field],anthropology; expeditions; natural history,Anthropology & Museum Ethnography; Plant Sciences; Zoology,Social Sciences,"text, images",,,?,,
prm-jeffreys-papers,PRM,Manuscripts,Jeffreys Papers,100,,Some,1,2 boxes,,,,archives; manuscripts; correspondence; notebooks; drawings,Cameroon,Mervyn David Waldegrave JEFFREYS (1890-1975),[GFS to derive dates from life dates in Names field],anthropology; epigraphy,"Anthropology & Museum Ethnography; Linguistics, Philology & Phonetics",Social Sciences; Humanities,text,,,?,,
prm-knowles-papers,PRM,Manuscripts,Knowles Papers,150,,Some,1,3 boxes,,,,archives; manuscripts; correspondence,,Sir Francis Howe Seymour KNOWLES (1886-1953),[GFS to derive dates from life dates in Names field],anthropology; flint tools; stone tools,Anthropology & Museum Ethnography; Archaeology,Social Sciences; Humanities,text,,,?,,
prm-lewis-papers,PRM,Manuscripts,Lewis Papers,100,,Some,1,,,,,archives; manuscripts,Southern Sudan,Bazett Annesley Lewis (1907–1970),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-lienhardt-papers,PRM,Manuscripts,Lienhardt Papers,700,,Some,1,,,,,"archives; manuscripts; correspondence; field notes; research notes; lectures; unpublished writings; published materials
",Southern Sudan,(Ronald) Godfrey LIENHARDT (1921–1993),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-makereti-papers,PRM,Manuscripts,Makereti Papers,550,,Some,1,,,,,archives; manuscripts; correspondence; notes; typescripts; newspaper cuttings; ephemera,New Zealand,"Margaret Pattison Staples-Browne (née Thom, subsequently Dennan), known as ‘Maggie (MAKERETI) Papakura’ (1872-1930)",[GFS to derive dates from life dates in Names field],anthropology; Maori,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-marett-papers,PRM,Manuscripts,Marett Papers,100,,Some,1,,,,,archives; manuscripts; correspondence; notes; typescripts; article offprints,,Robert Ranulph MARETT (1866-1943),[GFS to derive dates from life dates in Names field],anthropology; anthropological theory,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-mcdougall-papers,PRM,Manuscripts,McDougall Papers,50,,Some,1,,,,,archives; manuscripts;  correspondence; notes; typescripts,Central America,Elsie Colsell MCDOUGALL (1883-1961),[GFS to derive dates from life dates in Names field],anthropology; textiles,Anthropology & Museum Ethnography; History of Art,Social Sciences; Humanities,text,,,?,,
prm-mechling-papers,PRM,Manuscripts,Mechling Papers,1,,All,1,,,,,archives; manuscripts; typescripts,,William Hubbs MECHLING (1888-1953),[GFS to derive dates from life dates in Names field],anthropology; Malecites; Micmacs,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-meinhard-papers,PRM,Manuscripts,Meinhard Papers,100,,Some,1,,,,,archives; manuscripts; diaries; notebooks; notes; typescripts,,Heinrich MEINHARD (1900-1975),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-mills-papers,PRM,Manuscripts,Mills Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; notes,Nagaland; Assam; India,James Philip MILLS (1890-1960),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-miscellaneous-manuscripts,PRM,Manuscripts,Miscellaneous Manuscripts,36,,All,36,,,,,archives; manuscripts; correspondence; typescripts,Oxford,MISCELLANEOUS MANUSCRIPTS,[GFS to derive dates from life dates in Names field],anthropology; Pitt Rivers Museum; ,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-myres-papers,PRM,Manuscripts,Myres Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; notes; drawings,North Africa,Sir John Linton MYRES (1869-1954),[GFS to derive dates from life dates in Names field],anthropology; history,Anthropology & Museum Ethnography; History,Social Sciences,text,,,?,,
prm-nepean-papers,PRM,Manuscripts,Nepean Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; diaries; drawings; ephemera,Tibet,Sir Evan Yorke NEPEAN (1909-2002),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-nevins-papers,PRM,Manuscripts,Nevins Papers,100,,Some,1,,,,,archives; manuscripts; correspondence; diaries; notes; typescripts; newspaper cuttings; ephemera,Nigeria,Hugh Nevin NEVINS (1888-1968),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-oakley-papers,PRM,Manuscripts,Oakley Papers,300,,Some,1,,,,,archives; manuscripts; correspondence; notebooks; notes; typescripts; article offprints; newspaper cuttings,,Kenneth Page OAKLEY (1911-1981),[GFS to derive dates from life dates in Names field],anthropology; geology; folklore,Anthropology & Museum Ethnography; Earth Sciences,Social Sciences; MPLS,text,,,?,,
prm-oldeberg-papers,PRM,Manuscripts,Oldeberg Papers,1,,All,1,,,,,archives; manuscripts,,Andreas Emil OLDEBERG (1892-1980),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-oxford-university-anthropological-society-papers,PRM,Manuscripts,Oxford University Anthropological Society Papers,300,,Some,1,,,,,archives; manuscripts; correspondence; registers; notebooks; cash-books; notes; typescripts; ephemera,,OXFORD UNIVERSITY ANTHROPOLOGICAL SOCIETY (founded 1909),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-parsons-papers,PRM,Manuscripts,Parsons Papers,100,,Some,1,,,,,archives; manuscripts; correspondence; notebooks; drawings; catalogue,,Catherine Elizabeth PARSONS (1870-1956),[GFS to derive dates from life dates in Names field],anthropology; keys,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
prm-penniman-papers,PRM,Manuscripts,Penniman Papers,"1,100",,Some,1,,,,,archives; manuscripts; correspondence; notebooks; notes; typescripts; article offprints; newspaper cuttings,Oxford,Thomas Kenneth PENNIMAN (1895-1977),[GFS to derive dates from life dates in Names field],anthropology; Pitt Rivers Museum; museums,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-pitt-rivers-museum-papers,PRM,Manuscripts,Pitt Rivers Museum Papers,850,,All,850,,,,,archives; manuscripts; correspondence; notebooks; notes; typescripts; drawings; pamphlets; article offprints; newspaper cuttings; ephemera,Oxford,"PITT RIVERS MUSEUM, UNIVERSITY OF OXFORD",1889-1998,anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-pitt-rivers-papers,PRM,Manuscripts,Pitt-Rivers Papers,150,,All,150,,,,,archives; manuscripts; correspondence,Oxford,Augustus Henry Lane Fox Pitt-Rivers (1827-1900),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-posey-papers,PRM,Manuscripts,Posey Papers,300,,Some,1,,,,,archives; manuscripts; correspondence; notebooks; typescripts; drawings,Brazil,Darrell Addison POSEY (1947-2001),[GFS to derive dates from life dates in Names field],anthropology; ethnobiology; Kayapó,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-powell-cotton-papers,PRM,Manuscripts,Powell-Cotton Papers,50,,Some,1,,,,,archives; manuscripts; notes; typescripts,Somalia; southern Angola,Diana POWELL-COTTON (1908-1986) and Antoinette POWELL-COTTON (1913-1997),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-pring-papers,PRM,Manuscripts,Pring Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; typescripts,Belgian Congo,Samuel William PRING (1866-1954),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-radcliffe-brown-papers,PRM,Manuscripts,Radcliffe-Brown Papers,50,,Some,1,,,,,archives; manuscripts; drawings; notes; typescripts,Andaman Islands,Alfred Reginald RADCLIFFE-BROWN (1881-1955),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-robley-papers,PRM,Manuscripts,Robley Papers,50,,Some,1,,,,,archives; manuscripts; notes; typescripts; drawings,Andaman Islands,Horatio Gordon ROBLEY (1840-1930),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
prm-roth-papers,PRM,Manuscripts,Roth Papers,1,,All,1,,,,,archives; manuscripts; typescripts,Fiji,George Kingsley ROTH (1903-1960),[GFS to derive dates from life dates in Names field],anthropology; art,Anthropology & Museum Ethnography; History of Art,Social Sciences; Humanities,"text, images",,,?,,
prm-sassoon-papers,PRM,Manuscripts,Sassoon Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; notebook; notes; typescripts,Nigeria,Hamo SASSOON (1925-2004),[GFS to derive dates from life dates in Names field],anthropology; iron smelting; Birom,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-skeat-papers,PRM,Manuscripts,Skeat Papers,450,,Some,1,,,,,archives; manuscripts; correspondence; notes; article offprints,,Walter William SKEAT (1866-1953),[GFS to derive dates from life dates in Names field],anthropology; folklore,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
